run_category,start_date_converted,start_date_month,year,month,distance_km,name,run_moving_time,run_elapsed_time,total_elevation_gain,achievement_count,kudos_count,comment_count,average_cadence,pr_count,average_heartrate,max_heartrate
Regular,2022-05-03,2022-05-31,2022,5,11.86,River Loop,0:59:50,1:00:01,72.0,14,55,2,89.0,13,156.1,169.0
Regular,2022-05-03,2022-05-31,2022,5,10.05,Easy tenner,0:58:44,0:58:59,45.0,0,33,0,84.5,0,133.6,153.0
Regular,2022-05-02,2022-05-31,2022,5,8.16,PM Loop,0:45:49,0:45:49,75.0,0,43,0,85.2,0,139.4,162.0
Regular,2022-05-01,2022-05-31,2022,5,12.13,Plan B - Part two,1:13:10,1:13:21,185.0,0,69,1,84.1,0,151.5,169.0
Regular,2022-04-30,2022-04-30,2022,4,13.03,Plan B,1:07:46,1:07:50,74.0,1,55,1,87.1,0,151.4,171.0
Regular,2022-04-29,2022-04-30,2022,4,9.57,Friday arvo scribbles,0:59:19,1:01:02,166.0,0,53,0,84.0,0,150.9,175.0
Regular,2022-04-28,2022-04-30,2022,4,8.03,Easy PM,0:45:58,0:46:01,27.0,1,41,0,85.2,0,131.3,147.0
Regular,2022-04-26,2022-04-30,2022,4,10.51,PM Loop,0:56:54,0:56:54,70.0,1,40,0,86.5,1,141.0,165.0
Regular,2022-04-25,2022-04-30,2022,4,10.12,Stoking that fire,0:54:49,0:54:49,64.0,0,54,2,86.2,0,144.6,169.0
Regular,2022-04-23,2022-04-30,2022,4,21.23,Exploring Bayview,2:27:36,2:28:38,520.0,1,82,2,80.7,0,147.6,174.0
Regular,2022-04-23,2022-04-30,2022,4,5.1,Easy 30,0:30:01,0:30:01,22.0,0,40,0,84.0,0,134.7,160.0
Regular,2022-04-21,2022-04-30,2022,4,10.11,PM Loop,0:51:09,0:51:09,70.0,2,51,0,86.8,0,145.7,168.0
Regular,2022-04-19,2022-04-30,2022,4,6.44,Turning them over,0:35:47,0:35:54,26.0,0,38,0,84.3,0,133.7,153.0
Regular,2022-04-18,2022-04-30,2022,4,10.05,Easy PM loop,0:58:58,0:58:58,68.0,0,48,0,84.2,0,139.7,196.0
Regular,2022-04-17,2022-04-30,2022,4,7.58,Feeling heavy,0:39:58,0:39:58,72.0,0,48,1,85.5,0,147.4,171.0
Regular,2022-04-16,2022-04-30,2022,4,5.51,Double pram ,0:32:13,0:44:35,17.0,0,43,0,86.6,0,147.5,169.0
Regular,2022-04-15,2022-04-30,2022,4,6.02,Not WH@N,0:33:51,0:33:51,32.0,0,43,3,85.6,0,136.0,156.0
Regular,2022-04-13,2022-04-30,2022,4,9.19,Loops,0:47:51,0:47:55,58.0,1,44,0,86.3,1,150.4,169.0
Regular,2022-04-11,2022-04-30,2022,4,10.07,Still broken but moving,0:58:42,0:58:42,63.0,0,62,3,85.2,0,138.4,163.0
Regular,2022-04-10,2022-04-30,2022,4,5.47,Can’t catch a break,0:34:06,0:34:06,18.0,0,43,3,84.8,0,124.3,134.0
Regular,2022-04-06,2022-04-30,2022,4,10.02,Easy PM,0:57:30,0:57:33,67.0,0,53,0,84.1,0,135.8,159.0
Regular,2022-04-05,2022-04-30,2022,4,9.15,The new regular,0:49:27,0:49:27,72.0,0,46,0,85.4,0,145.2,165.0
Regular,2022-04-04,2022-04-30,2022,4,13.1,Cut short,1:11:30,1:11:52,87.0,0,50,6,84.1,0,143.4,161.0
Regular,2022-04-01,2022-04-30,2022,4,5.03,Easy shakeout ,0:29:07,0:29:07,7.0,0,36,0,83.6,0,134.0,143.0
Regular,2022-03-30,2022-03-31,2022,3,8.02,Easy PM… again,0:45:05,0:45:05,48.0,1,48,1,84.4,1,136.3,158.0
Regular,2022-03-29,2022-03-31,2022,3,10.22,Easy PM,0:58:37,0:58:37,93.0,0,47,2,84.0,0,135.5,161.0
Regular,2022-03-28,2022-03-31,2022,3,8.14,Treadmill ,0:50:16,0:50:27,0.0,0,23,2,81.8,0,128.3,144.0
Regular,2022-03-27,2022-03-31,2022,3,15.17,Drenched,1:23:06,1:23:40,128.0,2,62,0,84.3,0,144.7,175.0
Regular,2022-03-24,2022-03-31,2022,3,7.02,The late shift,0:37:17,0:37:24,60.0,0,39,0,85.5,0,142.1,170.0
Regular,2022-03-23,2022-03-31,2022,3,9.01,Running is hard ,0:47:38,0:47:38,34.0,0,54,3,85.5,0,145.8,165.0
Regular,2022-03-21,2022-03-31,2022,3,9.22,Lunch Loop,0:52:21,0:52:27,42.0,1,43,0,83.3,0,139.5,157.0
Race,2022-03-19,2022-03-31,2022,3,12.7,Daisy Hill SEQ short course,1:08:46,1:08:46,253.0,8,91,5,85.2,4,166.1,188.0
